Ilustracja,Nazwa Karty,Plan
514M20,Wolfkin Bond,Innistrad
515EOE,Warmaker Gunship,The Edge
516RNA,Tenth District Veteran,Ravnica
517KTK,Force Away,Tarkir
518KTK,Woolly Loxodon,Tarkir
519CLB,Lurking Green Dragon,Forgotten Realms
520KTK,Rakshasa Vizier,Tarkir
521THS,Leafcrown Dryad,Wiedźmin
522PLS,Hobble,Warhammer Fantasy
523DTK,Segmented Krotiq,Wiedźmin
524EOE,Squire's Lightblade,Warhammer Fantasy
525FIN,"Jill, Shiva's Dominant",Final Fantasy
526LCI,Canonized in Blood,Ixalan
527FIN,"Shiva, Warden of Ice",Final Fantasy
528DSK,Enter the Enigma,Duskmourn
529MBS,Turn the Tide,Mirrodin
530ZEN,Grazing Gladehart,Zendikar
531M3C,Disa the Restless,Dominaria
532CLB,You're Confronted by Robbers,Warhammer Fantasy
533_2XM,Death-Hood Cobra,Mirrodin
534MH2,Terminal Agony,Warhammer Fantasy
535STH,Lab Rats,Warhammer Fantasy
536CON,Ethersworn Shieldmage,Alara
537CMR,Kor Cartographer,Zendikar
538DTK,Ojutai's Breath,Tarkir
539CLB,Silvanus's Invoker,Forgotten Realms
540DST,Chittering Rats,Wiedźmin
541KLD,Bomat Bazaar Barge,Kaladesh
542SOM,Panic Spellbomb,Mirrodin
543ISD,Wooden Stake,Warhammer Fantasy
544AVR,Thraben Valiant,Innistrad
545MBS,Fuel for the Cause,Mirrodin
546NEO,Clawing Torment,Kamigawa
547ONE,Quicksilver Fisher,Mirrodin
548ELD,Steelclaw Lance,Eldraine
549DTK,Stampeding Elk Herd,Tarkir
550M15,Frost Lynx,Warhammer Fantasy
551LCI,Contested Game Ball,Warhammer Fantasy
552CLB,Ettercap,Forgotten Realms
553DTK,Coat with Venom,Tarkir
554RIX,Cherished Hatchling,Warhammer Fantasy
555DSK,Bedhead Beastie,Wiedźmin
556NPH,Ruthless Invasion,Mirrodin
557TDM,Kishla Village,Tarkir
558FIN,White Mage's Staff,Final Fantasy
559FIN,Gaelicat,Final Fantasy
560APC,Dead Ringers,Dominaria
561THS,Time to Feed,Theros
562AER,Shock,Kaladesh
563BRO,Koilos Roc,Dominaria
564INV,Razorfoot Griffin,Dominaria
565CON,Mana Cylix,Alara
566ECL,Creakwood Safewright,Lorwyn
567OGW,Jwar Isle Avenger,Zendikar
568EOE,Nanoform Sentinel,The Edge
569DSK,Manifest Dread,Duskmourn
570GRN,Dimir Guildgate,Ravnica
571CMR,Vow of Flight,Fiora
572GTC,Skinbrand Goblin,Ravnica
573FRF,Typhoid Rats,Tarkir
574M15,Invasive Species,Warhammer Fantasy
575DTK,Dromoka Warrior,Tarkir
576ORI,Akroan Sergeant,Theros
577DST,Thunderstaff,Warhammer Fantasy
578THS,Savage Surge,Warhammer Fantasy
579ECL,Kulrath Mystic,Lorwyn
